DMA,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-02-01,2026-03-01,2026-04-01,2026-05-01,2026-06-01,2026-07-01
"Atlanta, GA",135000,0,80000,90000,41000,48000,124000,128000,8000,36000,150000,340000,87000,235000,149000,141000,145000,266000
"Baltimore, MD",29000,0,14000,30000,15000,22000,48000,46000,2000,35000,48000,85000,0,0,0,0,0,0
"Boston, MA (Manchester, NH)",129000,0,75000,101000,47000,60000,90000,127000,5000,14000,163000,367000,55000,180000,141000,120000,124000,184000
"Buffalo, NY",8000,0,13000,16000,6000,7000,17000,15000,1000,22000,24000,48000,0,0,0,0,0,0
"Charlotte, NC",31000,0,17000,31000,18000,23000,25000,31000,2000,4000,51000,86000,0,0,0,0,0,0
"Chicago, IL",182000,0,77000,139000,57000,85000,106000,161000,253000,476000,240000,569000,93000,292000,198000,213000,279000,385000
"Cincinnati, OH",26000,0,24000,38000,9000,16000,45000,45000,2000,60000,54000,115000,0,0,0,0,0,0
"Cleveland-Akron (Canton), OH",22000,0,21000,30000,10000,13000,35000,33000,3000,3000,45000,92000,0,0,0,0,0,0
Columbus OH,24000,0,17000,35000,8000,18000,33000,40000,2000,54000,46000,97000,0,0,0,0,0,0
"Dallas-Ft. Worth, TX",136000,0,75000,105000,52000,63000,124000,122000,327000,627000,174000,401000,74000,280000,224000,157000,243000,308000
"Detroit, MI",86000,0,41000,68000,23000,37000,50000,89000,4000,65000,114000,264000,0,0,0,0,0,0
"El Paso, TX (Las Cruces, NM)",26000,0,20000,29000,18000,19000,31000,32000,0,9000,47000,86000,0,0,0,0,0,0
"Ft. Myers-Naples, FL",20000,0,12000,19000,13000,14000,18000,20000,1000,0,31000,52000,0,0,0,0,0,0
"Harlingen, TX",50000,0,28000,45000,26000,31000,43000,47000,1000,11000,74000,163000,0,0,0,0,0,0
"Hartford, CT",13000,0,6000,13000,0,4000,14000,12000,1000,13000,16000,40000,0,0,0,0,0,0
"Houston, TX",187000,0,66000,148000,63000,94000,118000,164000,67000,78000,241000,575000,71000,307000,203000,141000,224000,259000
Includes Chelsea Event in April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Las Vegas, NV",33000,0,26000,37000,18000,21000,53000,43000,1000,10000,59000,114000,0,0,0,0,0,0
"Los Angeles, CA",290000,0,138000,215000,85000,130000,172000,255000,14000,52000,353000,844000,135000,558000,368000,241000,645000,676000
"Miami-Ft. Lauderdale, FL",226000,0,104000,180000,79000,115000,135000,197000,5000,94000,381000,635000,72000,292000,174000,124000,202000,224000
"Minneapolis-St. Paul, MN",39000,0,135000,72000,19000,26000,120000,82000,7000,150000,109000,230000,0,0,0,0,0,0
"New York, NY",468000,0,300000,473000,247000,307000,428000,526000,45000,58000,766000,1825000,194000,817000,1251000,352000,551000,693000
"Oklahoma City, OK",19000,0,14000,18000,8000,9000,28000,22000,1000,22000,30000,57000,0,0,0,0,0,0
"Orlando-Daytona Beach-Melbourne, FL",104000,0,40000,69000,36000,44000,86000,91000,4000,24000,117000,280000,0,0,0,0,0,0
"Philadelphia, PA",248000,0,78000,139000,50000,82000,118000,154000,7000,74000,414000,698000,62000,269000,176000,124000,174000,234000
"Phoenix (Prescott), AZ",73000,0,23000,66000,25000,48000,92000,94000,3000,28000,107000,194000,0,0,0,0,0,0
"Providence, RI-New Bedford, MA",7000,0,8000,11000,0,0,19000,13000,0,20000,10000,27000,0,0,0,0,0,0
Puerto Rico,201000,0,0,128000,0,101000,9000,139000,2000,117000,228000,474000,44000,172000,69000,40000,61000,150000
"Sacramento-Stockton-Modesto, CA",47000,0,25000,39000,21000,28000,59000,52000,2000,32000,77000,150000,0,0,0,0,0,0
"San Antonio, TX",50000,0,34000,58000,23000,34000,49000,59000,2000,42000,93000,180000,0,0,0,0,0,0
"San Diego, CA",32000,0,17000,32000,18000,24000,78000,60000,2000,6000,53000,91000,0,0,0,0,0,0
"Seattle-Tacoma, WA",29000,0,16000,28000,17000,21000,23000,28000,3000,3000,46000,78000,0,0,0,0,0,0
"Tampa-St. Petersburg (Sarasota), FL",101000,0,70000,80000,34000,40000,96000,114000,4000,5000,138000,309000,0,0,0,0,0,0
"Washington, DC (Hagerstown, MD)",122000,0,79000,92000,44000,42000,147000,131000,10000,-6000,138000,315000,73000,246000,206000,144000,145000,214000
"West Palm Beach, FL",127000,0,26000,40000,17000,21000,44000,43000,2000,30000,57000,117000,0,0,0,0,0,0
